iata,icao,name,location,time
BFX,FKKU,Bafoussam Airport,"Bafoussam, Cameroon",UTC+01:00
BGA,SKBG,Palonegro International Airport,"Bucaramanga, Colombia",UTC−05:00
BGB,FOGB,Booué Airport,"Booué, Gabon",UTC+01:00
BGC,LPBG,Bragança Airport,"Bragança, Portugal",UTC±00:00
BGD,KBGD,Hutchinson County Airport,"Borger, Texas, United States",UTC−06:00
BGE,KBGE,Decatur County Industrial Air Park,"Bainbridge, Georgia, United States",UTC−05:00
BGF,FEFF,Bangui M'Poko International Airport,"Bangui, Central African Republic",UTC+01:00
BGG,LTCU,Bingöl Airport[1],"Bingöl, Turkey",UTC+03:00
BGH,GQNE,Abbaye Airport,"Bogué, Mauritania",UTC±00:00
BGI,TBPB,Grantley Adams International Airport,"Bridgetown, Barbados",UTC−04:00
BGJ,BIBF,Borgarfjörður Eystri Airport,"Borgarfjörður Eystri, Iceland",UTC±00:00
BGK,,Big Creek Airport,"Big Creek, Belize",UTC−06:00
BGL,VNBL,Baglung Airport,"Baglung, Nepal",UTC+05:45
BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),"Binghamton, New York, United States",UTC−05:00
BGN,UESG,Belaya Gora Airport,"Belaya Gora, Yakutia, Russia",UTC+11:00
BGO,ENBR,"Bergen Airport, Flesland","Bergen, Norway",UTC+01:00
BGP,,Bongo Airport,"Bongo, Gabon",UTC+01:00
BGQ,PAGQ,Big Lake Airport,"Big Lake, Alaska, United States",UTC−09:00
BGR,KBGR,Bangor International Airport,"Bangor, Maine, United States",UTC−05:00
BGT,,Bagdad Airport (FAA: E51),"Bagdad, Arizona, United States",UTC−07:00
BGU,FEFG,Bangassou Airport,"Bangassou, Central African Republic",UTC+01:00
BGV,SSBG,Bento Gonçalves Airport,"Bento Gonçalves, Rio Grande do Sul, Brazil",UTC−03:00
BGW,ORBI,Baghdad International Airport,"Baghdad, Iraq",UTC+03:00
BGX,SBBG,Comandante Gustavo Kraemer Airport,"Bagé, Rio Grande do Sul, Brazil",UTC−03:00
BGY,LIME,Il Caravaggio International Airport (Orio al Serio Airport),"Milan / Bergamo, Lombardy, Italy",UTC+01:00
BGZ,LPBR,Braga Airport,"Braga, Portugal",UTC±00:00
BHA,SESV,Los Perales Airport,"Bahía de Caráquez, Ecuador",UTC−05:00
BHB,KBHB,Hancock County-Bar Harbor Airport,"Bar Harbor, Maine, United States",UTC−05:00
BHD,EGAC,George Best Belfast City Airport,"Belfast, Northern Ireland",UTC±00:00
BHE,NZWB,Woodbourne Airport,"Blenheim, New Zealand",UTC+12:00
BHF,SKCP,Bahía Cupica Airport,"Bahía Cupica, Colombia",UTC−05:00
BHG,,Brus Laguna Airport,"Brus Laguna, Honduras",UTC−06:00
BHH,OEBH,Bisha Domestic Airport,"Bisha, Saudi Arabia",UTC+03:00
BHI,SAZB,Comandante Espora Airport,"Bahía Blanca, Buenos Aires, Argentina",UTC−03:00
BHJ,VABJ,Bhuj Airport / Bhuj Rudra Mata Air Force Base,"Bhuj, Gujarat, India",UTC+05:30
BHK,UTSB,Bukhara International Airport,"Bukhara, Uzbekistan",UTC+05:00
BHL,,Bahía de los Ángeles Airport,"Bahía de los Ángeles, Baja California, Mexico",UTC−08:00
BHM,KBHM,Birmingham–Shuttlesworth International Airport,"Birmingham, Alabama, United States",UTC−06:00
BHN,OYBN,Beihan Airport,"Beihan, Yemen",UTC+03:00
BHO,VABP,Raja Bhoj Airport,"Bhopal, Madhya Pradesh, India",UTC+05:30
BHP,VNBJ,Bhojpur Airport,"Bhojpur, Nepal",UTC+05:45
BHQ,YBHI,Broken Hill Airport,"Broken Hill, New South Wales, Australia",UTC+09:30
BHR,VNBP,Bharatpur Airport,"Bharatpur, Nepal",UTC+05:45
BHS,YBTH,Bathurst Airport,"Bathurst, New South Wales, Australia",UTC+10:00
BHT,,Brighton Downs Airport,"Brighton Downs, Queensland, Australia",UTC+10:00
BHU,VABV,Bhavnagar Airport,"Bhavnagar, Gujarat, India",UTC+05:30
BHV,OPBW,Bahawalpur Airport,"Bahawalpur, Pakistan",UTC+05:00
BHW,,Bhagatanwala Airport,"Sargodha, Pakistan",UTC+05:00
BHX,EGBB,Birmingham Airport,"Birmingham, England",UTC±00:00
BHY,ZGBH,Beihai Fucheng Airport,"Beihai, Guangxi, China",UTC+08:00
BHZ[1],,metropolitan area3,"Belo Horizonte, Minas Gerais, Brazil",UTC−03:00
BIA,LFKB,Bastia – Poretta Airport,"Bastia, Corsica, France",UTC+01:00
BIB,HCMB,Baidoa Airport,"Baidoa, Somalia",UTC+03:00
BID,KBID,Block Island State Airport,"Block Island, Rhode Island, United States",UTC−05:00
BIE,KBIE,Beatrice Municipal Airport,"Beatrice, Nebraska, United States",UTC−06:00
BIF,KBIF,Biggs Army Airfield,"El Paso, Texas, United States",UTC−07:00
BIG,PABI,Allen Army Airfield,"Delta Junction, Alaska, United States",UTC−09:00
BIH,KBIH,Eastern Sierra Regional Airport,"Bishop, California, United States",UTC−08:00
BII,,Bikini Atoll Airport,"Bikini Atoll, Marshall Islands",UTC+12:00
BIJ,,Biliau Airport,"Biliau, Papua New Guinea",UTC+10:00
BIK,WABB,Frans Kaisiepo Airport,"Biak, Indonesia",UTC+09:00
BIL,KBIL,Billings Logan International Airport,"Billings, Montana, United States",UTC−07:00
BIM,MYBS,South Bimini Airport,"Bimini, Bahamas",UTC−05:00
BIN,OABN,Bamyan Airport,"Bamyan, Afghanistan",UTC+04:30
BIO,LEBB,Bilbao Airport,"Bilbao, Basque Country, Spain",UTC+01:00
BIP,,Bulimba Airport,"Bulimba, Queensland, Australia",UTC+10:00
BIQ,LFBZ,Biarritz Pays Basque Airport,"Biarritz, Aquitaine, France",UTC+01:00
BIR,VNVT,Biratnagar Airport,"Biratnagar, Nepal",UTC+05:45
BIS,KBIS,Bismarck Municipal Airport,"Bismarck, North Dakota, United States",UTC−06:00
BIT,VNBT,Baitadi Airport,"Baitadi, Nepal",UTC+05:45
BIU,BIBD,Bíldudalur Airport,"Bíldudalur, Iceland",UTC±00:00
BIV,FEFR,Bria Airport,"Bria, Central African Republic",UTC+01:00
BIW,,Billiluna Airport,"Billiluna, Western Australia, Australia",UTC+08:00
BIX,KBIX,Keesler Air Force Base,"Biloxi, Mississippi, United States",UTC−06:00
BIY,FABE,Bhisho Airport,"Bhisho, South Africa",UTC+02:00
BIZ,,Bimin Airport,"Bimin, Papua New Guinea",UTC+10:00
BJA,DAAE,Soummam – Abane Ramdane Airport,"Béjaïa, Algeria",UTC+01:00
BJB,OIMN,Bojnord Airport,"Bojnord, Iran",UTC+03:30
BJC,KBJC,Rocky Mountain Metropolitan Airport,"Denver, Colorado, United States",UTC−07:00
BJD,BIBK,Bakkafjörður Airport,"Bakkafjörður, Iceland",UTC±00:00
BJE,,Baleela Airport[1],"Baleela, Sudan",UTC+03:00
BJF,ENBS,Båtsfjord Airport,"Båtsfjord, Norway",UTC+01:00
BJG,,Kotamobagu Mopait Airport[1],"Kotamobagu, Indonesia",UTC+08:00
BJH,VNBG,Bajhang Airport,"Bajhang, Nepal",UTC+05:45
BJI,KBJI,Bemidji Regional Airport,"Bemidji, Minnesota, United States",UTC−06:00
BJJ,KBJJ,Wayne County Airport,"Wooster, Ohio, United States",UTC−05:00
BJK,WAPK,Benjina Airport (Nangasuri Airport),"Benjina, Indonesia",UTC+09:00
BJL,GBYD,Banjul International Airport,"Banjul, Gambia",UTC±00:00
BJM,HBBA,Bujumbura International Airport,"Bujumbura, Burundi",UTC+02:00
BJN,,Bajone Airport,"Bajone, Mozambique",UTC+02:00
BJO,SLBJ,Bermejo Airport,"Bermejo, Bolivia",UTC−04:00
BJP,SBBP,Arthur Siqueira–Bragança Paulista State Airport[1],"Bragança Paulista, São Paulo, Brazil",UTC−03:00
BJQ,,Bahja Airport[1],"Bahja, Oman",UTC+04:00
BJR,HABD,Bahir Dar Airport,"Bahir Dar, Ethiopia",UTC+03:00
BJS[1],,metropolitan area4,"Beijing, China",UTC+08:00
BJT,,Bentota River Airport[1],"Bentota, Sri Lanka",UTC+05:30
BJU,VNBR,Bajura Airport,"Bajura, Nepal",UTC+05:45
BJV,LTFE,Milas–Bodrum Airport,"Milas / Bodrum, Turkey",UTC+03:00
BJW,WRKB,Bajawa Soa Airport,"Bajawa, Indonesia",UTC+08:00
BJX,MMLO,Del Bajío International Airport (Guanajuato Int'l Airport),"León, Guanajuato, Mexico",UTC−06:00
BJY,LYBT,Batajnica Air Base,"Batajnica, Serbia",UTC+01:00
BJZ,LEBZ,Badajoz Airport (Talavera la Real Air Base),"Badajoz, Extremadura, Spain",UTC+01:00
BKB,VIBK,Nal Airport,"Bikaner, Rajasthan, India",UTC+05:30
BKC,PABL,Buckland Airport (FAA: BVK),"Buckland, Alaska, United States",UTC−09:00
BKD,KBKD,Stephens County Airport,"Breckenridge, Texas, United States",UTC−06:00
BKE,KBKE,Baker City Municipal Airport,"Baker City, Oregon, United States",UTC−08:00
BKF,,Lake Brooks Seaplane Base,"Brooks Camp, Alaska, United States",UTC−09:00
BKG,KBBG,Branson Airport (FAA: BBG),"Branson, Missouri, United States",UTC−06:00
BKH,PHBK,Barking Sands PMRF,"Kekaha, Hawaii, United States",UTC−10:00
BKI,WBKK,Kota Kinabalu International Airport,"Kota Kinabalu, Sabah, Malaysia",UTC+08:00
BKJ,GUOK,Boké Baralande Airport,"Boké, Guinea",UTC±00:00
BKK,VTBS,Suvarnabhumi Airport,"Bangkok, Thailand",UTC+07:00
BKL,KBKL,Cleveland Burke Lakefront Airport,"Cleveland, Ohio, United States",UTC−05:00
BKM,WBGQ,Bakelalan Airport,"Bakelalan, Sarawak, Malaysia",UTC+08:00
BKN,,Balkanabat Airport[1],"Balkanabat, Turkmenistan",UTC+05:00
BKO,GABS,Bamako–Sénou International Airport,"Bamako, Mali",UTC±00:00
BKP,YBAW,Barkly Downs Airport,"Barkly Downs, Queensland, Australia",UTC+10:00
BKQ,YBCK,Blackall Airport,"Blackall, Queensland, Australia",UTC+10:00
BKR,FTTK,Bokoro Airport,"Bokoro, Chad",UTC+01:00
BKS,WIPL,Fatmawati Soekarno Airport,"Bengkulu, Indonesia",UTC+07:00
BKT,KBKT,Blackstone Army Airfield (Allen C. Perkinson Airport),"Blackstone, Virginia, United States",UTC−05:00
BKU,FMSV,Betioky Airport,"Betioky, Madagascar",UTC+03:00
BKW,KBKW,Raleigh County Memorial Airport,"Beckley, West Virginia, United States",UTC−05:00
BKX,KBKX,Brookings Regional Airport,"Brookings, South Dakota, United States",UTC−06:00
BKY,FZMA,Kavumu Airport,"Bukavu, Democratic Republic of the Congo",UTC+02:00
BKZ,HTBU,Bukoba Airport,"Bukoba, Tanzania",UTC+03:00
BLA,SVBC,General José Antonio Anzoátegui International Airport,"Barcelona, Venezuela",UTC−04:00
BLB,MPHO,Panamá Pacífico International Airport (former Howard AFB),"Panama Pacifico, Panama",UTC−05:00
BLC,FKKG,Bali Airport,"Bali, Cameroon",UTC+01:00
BLD,,Boulder City Municipal Airport (FAA: 61B),"Boulder City, Nevada, United States",UTC−08:00
BLE,ESSD,Dala Airport (Borlänge Airport),"Borlänge, Sweden",UTC+01:00
BLF,KBLF,Mercer County Airport,"Bluefield, West Virginia, United States",UTC−05:00
BLG,WBGC,Belaga Airport,"Belaga, Sarawak, Malaysia",UTC+08:00
BLH,KBLH,Blythe Airport,"Blythe, California, United States",UTC−08:00
BLI,KBLI,Bellingham International Airport,"Bellingham, Washington, United States",UTC−08:00
BLJ,DABT,Mostépha Ben Boulaid Airport,"Batna, Algeria",UTC+01:00
BLK,EGNH,Blackpool Airport,"Blackpool, England",UTC±00:00
BLL,EKBI,Billund Airport,"Billund, Denmark",UTC+01:00
BLM,KBLM,Monmouth Executive Airport,"Belmar / Farmingdale, New Jersey, United States",UTC−05:00
BLN,YBLA,Benalla Airport,"Benalla, Victoria, Australia",UTC+10:00
BLO,BIBL,Blönduós Airport,"Blönduós, Iceland",UTC±00:00
BLP,SPBL,Huallaga Airport,"Bellavista, Peru",UTC−05:00
BLQ,LIPE,Bologna Guglielmo Marconi Airport,"Bologna, Emilia-Romagna, Italy",UTC+01:00
BLR,VOBL,Kempegowda International Airport,"Bangalore, Karnataka, India",UTC+05:30
BLS,YBLL,Bollon Airport,"Bollon, Queensland, Australia",UTC+10:00
BLT,YBTR,Blackwater Airport,"Blackwater, Queensland, Australia",UTC+10:00
BLU,KBLU,Blue Canyon–Nyack Airport,"Emigrant Gap, California, United States",UTC−08:00
BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,"Belleville, Illinois, United States",UTC−06:00
BLX,LIDB,Belluno Airport,"Belluno, Veneto, Italy",UTC+01:00
BLY,EIBT,Belmullet Aerodrome,"Belmullet, Ireland",UTC±00:00
BLZ,FWCL,Chileka International Airport,"Blantyre, Malawi",UTC+02:00
BMA,ESSB,Stockholm Bromma Airport,"Stockholm, Sweden",UTC+01:00
BMB,FZFU,Bumba Airport,"Bumba, Democratic Republic of the Congo",UTC+01:00
BMC,KBMC,Brigham City Airport,"Brigham City, Utah, United States",UTC−07:00
BMD,FMML,Belo sur Tsiribihina Airport,"Belo sur Tsiribihina, Madagascar",UTC+03:00
BME,YBRM,Broome International Airport,"Broome, Western Australia, Australia",UTC+08:00
BMF,FEGM,Bakouma Airport,"Bakouma, Central African Republic",UTC+01:00
BMG,KBMG,Monroe County Airport,"Bloomington, Indiana, United States",UTC−05:00
BMH,AYBO,Bomai Airport,"Bomai, Papua New Guinea",UTC+10:00
BMI,KBMI,Central Illinois Regional Airport,"Bloomington, Illinois, United States",UTC−06:00
BMJ,SYBR,Baramita Airport,"Baramita, Guyana",UTC−04:00
BMK,EDWR,Borkum Airfield,"Borkum, Lower Saxony, Germany",UTC+01:00
BML,KBML,Berlin Regional Airport,"Berlin, New Hampshire, United States",UTC−05:00
BMM,FOOB,Bitam Airport,"Bitam, Gabon",UTC+01:00
BMN,ORBB,Bamarni Airport,"Bamarni, Iraq",UTC+03:00
BMO,VYBM,Bhamo Airport,"Bhamo, Myanmar",UTC+06:30
BMP,YBPI,Brampton Island Airport,"Brampton Island, Queensland, Australia",UTC+10:00
BMQ,,Bamburi Airport,"Bamburi, Kenya",UTC+03:00
BMR,EDWZ,Baltrum Airport,"Baltrum, Lower Saxony, Germany",UTC+01:00
BMS,SNBU,Socrates Mariani Bittencourt Airport,"Brumado, Bahia, Brazil",UTC−03:00
BMT,KBMT,Beaumont Municipal Airport,"Beaumont, Texas, United States",UTC−06:00
BMU,WADB,Sultan Muhammad Salahudin Airport (Bima Airport),"Bima, Indonesia",UTC+08:00
BMV,VVBM,Buon Ma Thuot Airport,"Buon Ma Thuot, Vietnam",UTC+07:00
BMW,DATM,Bordj Mokhtar Airport,"Bordj Badji Mokhtar, Algeria",UTC+01:00
BMX,PABM,Big Mountain Air Force Station (FAA: 37AK),"Big Mountain, Alaska, United States",UTC−09:00
BMY,NWWC,Île Art – Waala Airport,"Waala, Belep Islands, New Caledonia",UTC+11:00
BMZ,AYBF,Bamu Airport,"Bamu, Papua New Guinea",UTC+10:00
BNA,KBNA,Nashville International Airport,"Nashville, Tennessee, United States",UTC−06:00
BNB,FZGN,Boende Airport,"Boende, Democratic Republic of the Congo",UTC+01:00
BNC,FZNP,Beni Airport,"Beni, Democratic Republic of the Congo",UTC+02:00
BND,OIKB,Bandar Abbas International Airport,"Bandar Abbas, Iran",UTC+03:30
BNE,YBBN,Brisbane Airport,"Brisbane, Queensland, Australia",UTC+10:00
BNF,,Warm Springs Bay Seaplane Base,"Baranof Warm Springs, Alaska, United States",UTC−09:00
BNG,KBNG,Banning Municipal Airport,"Banning, California, United States",UTC−08:00
BNI,DNBE,Benin Airport,"Benin City, Nigeria",UTC+01:00
BNK,YBNA,Ballina Byron Gateway Airport,"Ballina, New South Wales, Australia",UTC+10:00
BNL,KBNL,Barnwell Regional Airport,"Barnwell, South Carolina, United States",UTC−05:00
BNM,AYBD,Bodinumu Airport,"Bodinumu, Papua New Guinea",UTC+10:00
BNN,ENBN,"Brønnøysund Airport, Brønnøy","Brønnøysund, Norway",UTC+01:00
BNO,KBNO,Burns Municipal Airport,"Burns, Oregon, United States",UTC−08:00
BNP,OPBN,Bannu Airport,"Bannu, Pakistan",UTC+05:00
BNQ,,Baganga Airport,"Baganga, Philippines",UTC+08:00
BNR,DFOB,Banfora Airport,"Banfora, Burkina Faso",UTC±00:00
BNS,SVBI,Barinas Airport,"Barinas, Venezuela",UTC−04:00
BNT,AYDI,Bundi Airport,"Bundi, Papua New Guinea",UTC+10:00
BNU,SSBL,Blumenau Airport,"Blumenau, Santa Catarina, Brazil",UTC−03:00
BNV,,Boana Airport,"Boana, Papua New Guinea",UTC+10:00
BNW,KBNW,Boone Municipal Airport,"Boone, Iowa, United States",UTC−06:00
BNX,LQBK,Banja Luka International Airport,"Banja Luka, Bosnia and Herzegovina",UTC+01:00
BNY,AGGB,Bellona/Anua Airport,"Bellona Island, Rennell and Bellona, Solomon Islands",UTC+11:00
BNZ,,Banz Airport,"Banz, Papua New Guinea",UTC+10:00
BOA,FZAJ,Boma Airport,"Boma, Democratic Republic of the Congo",UTC+01:00
BOB,NTTB,Bora Bora Airport (Motu Mute Airport),"Bora Bora, French Polynesia",UTC−10:00
BOC,MPBO,"Bocas del Toro ""Isla Colón"" International Airport","Bocas Town, Panama",UTC−05:00
BOD,LFBD,Bordeaux–Mérignac Airport,"Bordeaux, Aquitaine, France",UTC+01:00
BOE,FCOB,Boundji Airport,"Boundji, Republic of the Congo",UTC+01:00
BOG,SKBO,El Dorado International Airport,"Bogotá, Colombia",UTC−05:00
BOH,EGHH,Bournemouth Airport,"Bournemouth, England",UTC±00:00
BOI,KBOI,Boise Air Terminal (Gowen Field),"Boise, Idaho, United States",UTC−07:00
BOJ,LBBG,Burgas Airport,"Burgas, Bulgaria",UTC+02:00
BOK,KBOK,Brookings Airport,"Brookings, Oregon, United States",UTC−08:00
BOL,EGQB,Ballykelly Airfield (RAF Ballykelly),"Ballykelly, Northern Ireland",UTC±00:00
BOM,VABB,Chhatrapati Shivaji International Airport,"Mumbai, Maharashtra, India",UTC+05:30
BON,TNCB,Flamingo International Airport,"Kralendijk, Bonaire, Caribbean Netherlands",UTC−04:00
BOO,ENBO,Bodø Airport,"Bodø, Norway",UTC+01:00
BOP,FEFO,Bouar Airport,"Bouar, Central African Republic",UTC+01:00
BOQ,,Boku Airport,"Boku, Papua New Guinea",UTC+11:00
BOS,KBOS,Logan International Airport,"Boston, Massachusetts, United States",UTC−05:00
BOT,AYET,Bosset Airport,"Bosset, Papua New Guinea",UTC+10:00
BOU,LFLD,Bourges Airport,"Bourges, Centre-Val de Loire, France",UTC+01:00
BOV,,Boang Island Airport,"Boang Island, Papua New Guinea",UTC+10:00
BOW,KBOW,Bartow Municipal Airport,"Bartow, Florida, United States",UTC−05:00
BOX,YBRL,Borroloola Airport,"Borroloola, Northern Territory, Australia",UTC+09:30
BOY,DFOO,Bobo Dioulasso Airport,"Bobo-Dioulasso, Burkina Faso",UTC±00:00
BOZ,FEGZ,Bozoum Airport,"Bozoum, Central African Republic",UTC+01:00
BPB,,Boridi Airport,"Boridi, Papua New Guinea",UTC+10:00
BPC,FKKV,Bamenda Airport,"Bamenda, Cameroon",UTC+01:00
BPD,AYBP,Bapi Airport,"Bapi, Papua New Guinea",UTC+10:00
BPE,ZBDH,Qinhuangdao Beidaihe Airport,"Qinhuangdao, Hebei, China",UTC+08:00
BPF,AGBT,Batuna Airport,"Batuna, Solomon Islands",UTC+11:00
BPG,SBBW,Barra do Garças Airport,"Barra do Garças, Mato Grosso, Brazil",UTC−04:00
BPH,RPMF,Bislig Airport,"Bislig, Philippines",UTC+08:00
BPI,KBPI,Miley Memorial Field,"Big Piney, Wyoming, United States",UTC−07:00
BPK,AYBQ,Biangabip Airport,"Biangabip, Papua New Guinea",UTC+10:00
BPL,ZWBL,Bole Alashankou Airport,"Bole, Xinjiang, China",UTC+06:00
BPM,VOHY,Begumpet Airport,"Hyderabad, Telangana, India",UTC+05:30
BPN,WALL,Sultan Aji Muhammad Sulaiman Airport,"Balikpapan, Indonesia",UTC+08:00
BPS,SBPS,Porto Seguro Airport,"Porto Seguro, Bahia, Brazil",UTC−03:00
BPT,KBPT,Jack Brooks Regional Airport,"Beaumont / Port Arthur, Texas, United States",UTC−06:00
BPX,ZUBD,Qamdo Bamda Airport,"Qamdo, Tibet Autonomous Region, China",UTC+06:00
BPY,FMNQ,Besalampy Airport,"Besalampy, Madagascar",UTC+03:00
BQA,RPUR,Dr. Juan C. Angara Airport,"Baler, Philippines",UTC+08:00
BQB,YBLN,Busselton Margaret River Airport,"Busselton, Western Australia, Australia",UTC+08:00
BQE,GGBU,Bubaque Airport,"Bubaque, Guinea-Bissau",UTC±00:00
BQG,UHNB,Bogorodskoye Airport[1],"Bogorodskoye, Khabarovsk Krai, Russia",UTC+10:00
BQH,EGKB,London Biggin Hill Airport,"London / Biggin Hill, England",UTC±00:00
BQI,,Bagani Airport[1],"Bagani, Namibia",UTC+01:00
BQJ,,Batagay Airport,"Batagay, Yakutia, Russia",UTC+10:00
BQK,KBQK,Brunswick Golden Isles Airport,"Brunswick, Georgia, United States",UTC−05:00
BQL,YBOU,Boulia Airport,"Boulia, Queensland, Australia",UTC+10:00
BQN,TJBQ,Rafael Hernández Airport,"Aguadilla, Puerto Rico, United States",UTC−04:00
BQO,DIBN,Tehini Airport,"Bouna, Ivory Coast",UTC±00:00
BQQ,SNBX,Barra Airport,"Barra, Bahia, Brazil",UTC−03:00
BQS,UHBB,Ignatyevo Airport,"Blagoveshchensk, Amur Oblast, Russia",UTC+09:00
BQT,UMBB,Brest Airport,"Brest, Belarus",UTC+03:00
BQU,TVSB,J. F. Mitchell Airport,"Bequia, Saint Vincent and the Grenadines",UTC−04:00
BQV,,Bartlett Cove Seaplane Base,"Bartlett Cove, Alaska, United States",UTC−09:00
BQW,YBGO,Balgo Hill Airport,"Balgo Hill, Western Australia, Australia",UTC+08:00
BRA,SNBR,Barreiras Airport,"Barreiras, Bahia, Brazil",UTC−03:00
BRB,SBRR,Barreirinhas Airport,"Barreirinhas, Maranhão, Brazil",UTC−03:00
BRC,SAZS,San Carlos de Bariloche Airport,"San Carlos de Bariloche, Río Negro, Argentina",UTC−03:00
BRD,KBRD,Brainerd Lakes Regional Airport,"Brainerd, Minnesota, United States",UTC−06:00
BRE,EDDW,Bremen Airport,"Bremen, Bremen, Germany",UTC+01:00
BRH,,Brahman Airport,"Brahman, Papua New Guinea",UTC+10:00
BRI,LIBD,Bari Karol Wojtyła Airport,"Bari, Apulia, Italy",UTC+01:00
BRJ,,Bright Airport,"Bright, Victoria, Australia",UTC+10:00
BRK,YBKE,Bourke Airport,"Bourke, New South Wales, Australia",UTC+10:00
BRL,KBRL,Southeast Iowa Regional Airport,"Burlington, Iowa, United States",UTC−06:00
BRM,SVBM,Jacinto Lara International Airport,"Barquisimeto, Venezuela",UTC−04:00
BRN,LSZB,Bern Airport,"Bern, Switzerland",UTC+01:00
BRO,KBRO,Brownsville/South Padre Island International Airport,"Brownsville, Texas, United States",UTC−06:00
BRP,AYBR,Biaru Airport,"Biaru, Papua New Guinea",UTC+10:00
BRQ,LKTB,Brno–Tuřany Airport,"Brno, Czech Republic",UTC+01:00
BRR,EGPR,Barra Airport,"Barra, Scotland",UTC±00:00
BRS,EGGD,Bristol Airport,"Bristol, England",UTC±00:00
BRT,YBTI,Bathurst Island Airport,"Bathurst Island, Northern Territory, Australia",UTC+09:30
BRU,EBBR,Brussels Airport (Zaventem Airport),"Brussels, Belgium",UTC+01:00
BRV,EDWB,Bremerhaven Airport,"Bremerhaven, Bremen, Germany",UTC+01:00
BRW,PABR,Wiley Post–Will Rogers Memorial Airport,"Barrow, Alaska, United States",UTC−09:00
BRX,MDBH,María Montez International Airport,"Barahona, Dominican Republic",UTC−04:00
BRY,KBRY,Samuels Field,"Bardstown, Kentucky, United States",UTC−05:00
BSA,HCMF,Bender Qassim International Airport,"Bosaso, Somalia",UTC+03:00
BSB,SBBR,Brasília International Airport (Presidente J. Kubitschek Int'l Airport),"Brasília, Distrito Federal, Brazil",UTC−03:00
BSC,SKBS,José Celestino Mutis Airport,"Bahía Solano, Colombia",UTC−05:00
BSD,ZPBS,Baoshan Yunduan Airport,"Baoshan, Yunnan, China",UTC+08:00
BSE,WBGN,Sematan Airport,"Sematan, Sarawak, Malaysia",UTC+08:00
BSF,PHSF,Bradshaw Army Airfield,"Camp Pohakuloa, Hawaii, United States",UTC−10:00
BSG,FGBT,Bata Airport,"Bata, Equatorial Guinea",UTC+01:00
BSI,RPLE,Balesin Airport,"Balesin Island, Quezon, Philippines",UTC+08:00
BSJ,YBNS,Bairnsdale Airport,"Bairnsdale, Victoria, Australia",UTC+10:00
BSK,DAUB,Biskra Airport,"Biskra, Algeria",UTC+01:00
BSL,LFSB,EuroAirport Basel-Mulhouse-Freiburg,"Basel, Switzerland",UTC+01:00
BSM,OINJ,Bishe Kola Air Base,"Amol, Iran",UTC+03:30
BSN,FEFS,Bossangoa Airport,"Bossangoa, Central African Republic",UTC+01:00
BSO,RPUO,Basco Airport,"Basco, Philippines",UTC+08:00
BSP,AYBH,Bensbach Airport,"Bensbach, Papua New Guinea",UTC+10:00
BSQ,,Bisbee Municipal Airport (FAA: P04),"Bisbee, Arizona, United States",UTC−07:00
BSR,ORMM,Basra International Airport,"Basra, Iraq",UTC+03:00
BSS,SNBS,Balsas Airport,"Balsas, Maranhão, Brazil",UTC−03:00
BST,OABT,Bost Airport,"Lashkar Gah (Bost), Afghanistan",UTC+04:30
BSU,FZEN,Basankusu Airport,"Basankusu, Democratic Republic of the Congo",UTC+01:00
BSV,,Besakoa Airport[1],"Besakoa, Madagascar",UTC+03:00
BSW,,Boswell Bay Airport (FAA: AK97),"Boswell Bay, Alaska, United States",UTC−09:00
BSX,VYPN,Pathein Airport,"Pathein, Myanmar",UTC+06:30
BSY,HCMD,Bardera Airport,"Bardera, Somalia",UTC+03:00
BTA,FKKO,Bertoua Airport,"Bertoua, Cameroon",UTC+01:00
BTB,FCOT,Bétou Airport,"Bétou, Republic of the Congo",UTC+01:00
BTC,VCCB,Batticaloa International Airport,"Batticaloa, Sri Lanka",UTC+05:30
BTD,,Brunette Downs Airport,"Brunette Downs, Northern Territory, Australia",UTC+09:30
BTE,GFBN,Sherbro International Airport,"Bonthe, Sierra Leone",UTC±00:00
BTF,KBTF,Skypark Airport,"Bountiful, Utah, United States",UTC−07:00
BTG,FEGF,Batangafo Airport,"Batangafo, Central African Republic",UTC+01:00
BTH,WIDD,Hang Nadim Airport,"Batam, Indonesia",UTC+07:00
BTI,PABA,Barter Island LRRS Airport,"Barter Island, Alaska, United States",UTC−09:00
BTJ,WITT,Sultan Iskandar Muda International Airport,"Banda Aceh, Indonesia",UTC+07:00
BTK,UIBB,Bratsk Airport,"Bratsk, Irkutsk Oblast, Russia",UTC+08:00
BTL,KBTL,W. K. Kellogg Airport,"Battle Creek, Michigan, United States",UTC−05:00
BTM,KBTM,Bert Mooney Airport,"Butte, Montana, United States",UTC−07:00
BTN,KBBP,Marlboro County Jetport (FAA: BBP),"Bennettsville, South Carolina, United States",UTC−05:00
BTO,,Botopasi Airstrip,"Botopasi, Suriname",UTC−03:00
BTP,KBTP,Butler County Airport (K.W. Scholter Field),"Butler, Pennsylvania, United States",UTC−05:00
BTQ,HRYI,Butare Airport,"Butare, Rwanda",UTC+02:00
BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),"Baton Rouge, Louisiana, United States",UTC−06:00
BTS,LZIB,M. R. Štefánik Airport,"Bratislava, Slovakia",UTC+01:00
